2018-04-10 21:d:17,920 - root - INFO - handle_data (18): 04 00 01 40 1e 00 01 00 0e 0b eb 2c 43 0a 02 00 01 00
2018-04-10 21:21:17,921 - root - INFO - device_id = 11499
2018-04-10 21:21:18,010 - root - WARNING - Переполнение ХВС: было 2 имп., стало 1. Перезаписана точка старта.
2018-04-10 21:21:18,091 - root - ERROR - Data lenght=0
2018-04-10 21:51:47,209 - root - INFO - handle_data (134): 78 00 01 40 1e 00 01 00 1c 0b eb 2c 43 0a 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
2018-04-10 21:51:47,211 - root - INFO - device_id = 11499
2018-04-10 21:51:47,380 - root - ERROR - Data lenght=0
2018-04-10 22:22:18,808 - root - INFO - handle_data (134): 78 00 01 40 1e 00 01 00 1c 0b eb 2c 43 0a 02 00 01 00 02 00 01 00 02 00 01 00 02 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
2018-04-10 22:22:18,810 - root - INFO - device_id = 11499
2018-04-10 22:22:18,928 - root - WARNING - Переполнение ХВС: было 65281 имп., стало 1. Перезаписана точка старта.
2018-04-10 22:22:19,009 - root - ERROR - Data lenght=0
2018-04-10 22:52:50,399 - root - INFO - handle_data (134): 78 00 01 40 1e 00 01 00 1c 0b eb 2c 43 0a 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
2018-04-10 22:52:50,400 - root - INFO - device_id = 11499
2018-04-10 22:52:50,572 - root - ERROR - Data lenght=0
2018-04-10 23:23:21,962 - root - INFO - handle_data (134): 78 00 01 40 1e 00 01 00 1c 0b eb 2c 43 0a 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 01 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
2018-04-10 23:23:21,963 - root - INFO - device_id = 11499
2018-04-10 23:23:22,134 - root - ERROR - Data lenght=0
2018-04-10 23:53:53,443 - root - INFO - handle_data (134): 78 00 00 40 1e 00 01 00 1c 0b eb 2c 43 0a 02 00 01 00 02 00 01 00 02 00 01 00 02 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
2018-04-10 23:53:53,444 - root - INFO - device_id = 11499
2018-04-10 23:53:53,444 - root - ERROR - Data lenght=0
2018-04-11 00:24:24,856 - root - INFO - handle_data (134): 78 00 01 40 1e 00 01 00 1c 0b eb 2c 43 0a 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 00 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 00 01 00 02 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
2018-04-11 00:24:24,857 - root - INFO - device_id = 11499
2018-04-11 00:24:24,962 - root - WARNING - Переполнение ХВС: было 65281 имп., стало 1. Перезаписана точка старта.
2018-04-11 00:24:25,034 - root - ERROR - Data lenght=0
2018-04-11 00:54:55,967 - root - INFO - handle_data (134): 78 00 01 40 1e ff ff ff ff ff eb 2c 43 0a ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff
2018-04-11 00:54:55,968 - root - INFO - device_id = 11499
2018-04-11 00:54:56,100 - root - ERROR - no values
2018-04-11 00:54:56,101 - root - ERROR - Data lenght=0
